id_festival,nom_festival,envergure_territoriale_festival,code_insee_commune_festival,adresse_postale_festival,complement_adresse_festival,site_internet_festival,adresse_mail_festival,decennie_creation_festival,annee_creation_festival,discipline_dominante_festival,sous-categorie_spectacle_vivant,sous-categorie_musique,sous-categorie_cinema_et_audiovisuel,sous-categorie_arts_visuels_et_numeriques,sous-categorie_livre_et_litterature,periode_principale_deroulement_festival,geocodage_xy_festival,geocodage_latitude_festival,geocodage_longitude_festival,,,,,,,,,,,,,,,,
4440,L'art prend l'air,,37194,10 rue nationale,,https://mairie-reugny@wanadoo.fr,mairie-reugny@wanadoo.fr,2010 et après,,Spectacle vivant,Arts de la rue,,,,,Après-saison (6 septembre - 31 décembre),"47.4859477646, 0.872119692494",47.4859477646,0.872119692494,,,,,,,,,,,,,,,,
4441,Amis du jazz traditionnel,,26275,,Salle des fêtes de Suze la rousse,,,De 2000 à 2009,,Musique,,"jazz, blues et musiques improvisées",,,,Avant-saison (1er janvier - 20 juin),"44.2556674573, 4.83716476858",44.2556674573,4.83716476858,,,,,,,,,,,,,,,,
4442,Bon Moment,,54395,,,https://lautrecanalnancy.fr/,comweb@lautrecanalnancy.fr,2010 et après,2017,Musique,,"Chanson ou variété française, Musiques du monde, Variétés internationales, RnB, Musiques électroniques, techno, Hip-hop, rap, slam, Métal, hard rock, Pop, rock, Jazz, blues, Musiques actuelles",,,,Avant-saison (1er janvier - 20 juin),"48.6901995499, 6.17588254434",48.6901995499,6.17588254434,,,,,,,,,,,,,,,,
4443,Festival Zig Zag,,76540,,,,contact@man-leforum.fr,2010 et après,2019,"Arts visuels, arts numériques",,,,Architecture,,Après-saison (6 septembre - 31 décembre),"49.4413460103, 1.09256784278",49.4413460103,1.09256784278,,,,,,,,,,,,,,,,
4444,Vent d'Irlande,,17306,,,https://royanlitteraire.fr,contact@royanlitteraire.fr,2010 et après,2017,"Livre, littérature",,,,,,Avant-saison (1er janvier - 20 juin),"45.6346574238, -1.01791403375",45.6346574238,-1.01791403375,,,,,,,,,,,,,,,,
4445,Saint-Briac en musique,,35256,Sur la Place du Centre,,,guenolagreck@yahoo.fr,De 2000 à 2009,,Musique,,,,,,Saison (21 juin - 5 septembre),"48.6163388225, -2.12358766004",48.6163388225,-2.12358766004,,,,,,,,,,,,,,,,
4446,Meliaj,,22278,Parc-expo de Brézillet,,https://www.kenleur.bzh,confederation@kenleur.bzh,2010 et après,2018,Musique,Danse,,,,,Avant-saison (1er janvier - 20 juin),"48.5149806053, -2.76154552773",48.5149806053,-2.76154552773,,,,,,,,,,,,,,,,
4447,Street Punk Ink Mas Party,,22278,Palais des Congrès et des Expos,Rue Pierre de Coubertin,,streetpunkxmasparty@gmail.com,2010 et après,,"Arts visuels, arts numériques",,Musique,,Arts visuels,,Après-saison (6 septembre - 31 décembre),"48.5149806053, -2.76154552773",48.5149806053,-2.76154552773,,,,,,,,,,,,,,,,
4448,Cinéma plein air,,13091,10 Avenue Jules guesdes,Espace coopérative,,mfch.jourdain@gmail.com,De 2000 à 2009,2005,"Cinéma, audiovisuel",,,Film grand public (fil conducteur la provence),,,Saison (21 juin - 5 septembre),"43.6136286667, 5.30698257258",43.6136286667,5.30698257258,,,,,,,,,,,,,,,,
4449,Geek Ali,,97411,,,,geekali974@gmail.com,2010 et après,2019,Pluridisciplinaire,,,,,,Après-saison (6 septembre - 31 décembre),"-20.9329708192, 55.446867167",-20.9329708192,55.446867167,,,,,,,,,,,,,,,,
4450,Journées Cinématographiques,,93066,,,https://21.journees-cinematographiques.fr,journeescine@lecranstdenis.org,De 2000 à 2009,2001,"Cinéma, audiovisuel",,,"Fiction long métrage, Court métrage, Documentaire",,,Avant-saison (1er janvier - 20 juin),"48.9295650455, 2.3592429975",48.9295650455,2.3592429975,,,,,,,,,,,,,,,,
4451,Cinébanlieue,,75056,,,https://www.cinebanlieue.org,,De 2000 à 2009,31/12/2005 00:00,"Cinéma, audiovisuel",,,,,,Après-saison (6 septembre - 31 décembre),"48.8631867774, 2.40081982673",48.8631867774,2.40081982673,,,,,,,,,,,,,,,,
4452,Les Vendanges de Malagar,,33438,,,https://malagar.fr,accueil@malagar.fr,De 1990 à 1999,1999,"Livre, littérature",,,,,,Après-saison (6 septembre - 31 décembre),"44.5770246409, -0.246142662745",44.5770246409,-0.246142662745,,,,,,,,,,,,,,,,
4453,Festival Présences,,75056,,,https://www.maisondelaradio.fr/festival-presences-2019,,De 1990 à 1999,01/01/1991 00:00,Musique,,Musiques classiques,,,,Avant-saison (1er janvier - 20 juin),"48.8603987604, 2.2620995594",48.8603987604,2.2620995594,,,,,,,,,,,,,,,,
4454,Fetlyf Lycéens sur les planches,,35288,Théâtre de l'Hermine,,,muriel.montserrat@orange.fr,De 2000 à 2009,,Musique,Théâtre,,,,,Avant-saison (1er janvier - 20 juin),"48.6400443482, -1.98060627256",48.6400443482,-1.98060627256,,,,,,,,,,,,,,,,
4455,Festi-Rance,,22327,Parking des écluses du Châtelier,,,loic.lorre@wanadoo.fr,2010 et après,2010,Musique,,"Jazz, blues",,,,Saison (21 juin - 5 septembre),"48.4914561731, -2.01805917808",48.4914561731,-2.01805917808,,,,,,,,,,,,,,,,
4456,Gartempe Blues Festival,,86246,,,http://www.gartempeblues.com/,contact@gartempeblues.com,2010 et après,2013,Musique,,Musiques actuelles,,,,Saison (21 juin - 5 septembre),"46.5832866024, 0.840222181095",46.5832866024,0.840222181095,,,,,,,,,,,,,,,,
4457,Visions d'exil,,75056,,,https://visionsexil.aa-e.org,festival@aa-e.org,2010 et après,2017,Spectacle vivant,Théâtre,,,,,Après-saison (6 septembre - 31 décembre),"48.8679033789, 2.34410716666",48.8679033789,2.34410716666,,,,,,,,,,,,,,,,
4458,Festival Escapade,,23168,,,http://www.theatrenfant.fr/,contact@theatrenfant.fr,De 2000 à 2009,2009,Spectacle vivant,Théâtre,,,,,Saison (21 juin - 5 septembre),"46.0459895877, 1.85886765501",46.0459895877,1.85886765501,,,,,,,,,,,,,,,,
4459,Le théâtre dans tous ses états,,54498,,,,accueil@mairie-seichamps.fr,De 2000 à 2009,,Spectacle vivant,Théâtre,,,,,Avant-saison (1er janvier - 20 juin),"48.715250189, 6.27143894576",48.715250189,6.27143894576,,,,,,,,,,,,,,,,
4460,Etsetala...Festival de Contes en Sol Mineur,,68321,,,,,2010 et après,2010,Spectacle vivant,Conte,,,,,Avant-saison (1er janvier - 20 juin),"47.82743014, 7.25320289915",47.82743014,7.25320289915,,,,,,,,,,,,,,,,
4461,Longevity Festival,,67482,,,https://www.longevity-festival.com,contact@longevity-festival.com,2010 et après,2013,Musique,,"Musiques électroniques, techno",,,,Avant-saison (1er janvier - 20 juin),"48.5712679849, 7.76752679517",48.5712679849,7.76752679517,,,,,,,,,,,,,,,,
4462,Jazzpote,,57672,,,https://jazzpote.com,jazzpote@hotmail.com,De 2000 à 2009,2003,Musique,,"Jazz, blues",,,,Avant-saison (1er janvier - 20 juin),"49.3759716201, 6.12928314217",49.3759716201,6.12928314217,,,,,,,,,,,,,,,,
4463,Les Bons Jours,,35334,Au Domaine du Tizé,,https://auboutduplongeoir.fr/agenda/les-bons-jours-au-bout-du-plongeoir/,plateforme@auboutduplongeoir.fr,,,Pluridisciplinaire,,,,,,Après-saison (6 septembre - 31 décembre),"48.1566082899, -1.58409867633",48.1566082899,-1.58409867633,,,,,,,,,,,,,,,,
4464,Histoires de cinéma,,31555,69 Rue du Taur,,https://www.lacinemathequedetoulouse.com/programmation/festivals/histoires-de-cinema,accueil@lacinemathequedetoulouse.com,2010 et après,2017,"Cinéma, audiovisuel",,,,,,Après-saison (6 septembre - 31 décembre),"43.5963814303, 1.43167293364",43.5963814303,1.43167293364,,,,,,,,,,,,,,,,
4465,Croq'Livres - Festival du livre jeunesse,,29284,"Rue de la Providence, Espace de la Providence",,https://amicale-laique-lechiagat-treffiagat.fr/,claudie.roue@wanadoo.fr,2010 et après,2016,"Livre, littérature",,,,,enfance jeunesse,Avant-saison (1er janvier - 20 juin),"47.8049042408, -4.2597485124",47.8049042408,-4.2597485124,,,,,,,,,,,,,,,,
4466,Journées Musicales d'Uzerche -Muz,,19276,,,http://festivaluzerche.com,bonjour@festivaluzerche.com,De 2000 à 2009,2007,Musique,,Musiques classiques et savantes,,,,Saison (21 juin - 5 septembre),"45.4238857521, 1.56525480659",45.4238857521,1.56525480659,,,,,,,,,,,,,,,,
4467,Les Cambrouss'Ries,,35168,Val d'Anast,,,art-maure-spectacles@orange.fr,2010 et après,,Musique,Humour,,,,,Avant-saison (1er janvier - 20 juin),"47.8971012974, -1.99867854689",47.8971012974,-1.99867854689,,,,,,,,,,,,,,,,
4468,L'oreille du monde,,63307,,Salle André Raynoird La Coloc’ de la Culture,https://loreilledumonde.wordpress.com/,,2010 et après,2016,Musique,,Musiques traditionnelles et du monde,,,,Avant-saison (1er janvier - 20 juin),"45.7210583634, 3.08824671856",45.7210583634,3.08824671856,,,,,,,,,,,,,,,,
4469,Festival de musique ancienne de Valmunster,,57691,,,,musiquesenmoselle@gmail.com,2010 et après,,Musique,,,,,,Avant-saison (1er janvier - 20 juin),"49.2475100945, 6.51684193459",49.2475100945,6.51684193459,,,,,,,,,,,,,,,,
4470,Jazz à Val-Thorens,,74282,,Salle Maurice Calloc'h,,,2010 et après,2018,Musique,,"jazz, blues et musiques improvisées",,,,Saison (21 juin - 5 septembre),"45.9923733891, 6.28837579239",45.9923733891,6.28837579239,,,,,,,,,,,,,,,,
4471,Barbacane Classics,,71556,,,https://www.festival-barbacane-classics.com/barbacane-macon,contact@le-concert-impromptu.fr,2010 et après,2016,Musique,,,,,,Après-saison (6 septembre - 31 décembre),"46.2683636158, 4.8066970954",46.2683636158,4.8066970954,,,,,,,,,,,,,,,,
4472,Les Estivales de Veigné,,37266,,,https://www.veigne.fr,,2010 et après,,Musique,,jazz / musiques improvisées,,,,Avant-saison (1er janvier - 20 juin),"47.2888419417, 0.729965991438",47.2888419417,0.729965991438,,,,,,,,,,,,,,,,
4473,Authentiks,,38544,,Théâtre antique de vienne,https://festival-authentiks.com/,,De 2000 à 2009,,Musique,,Musiques amplifiées ou électroniques,,,,Saison (21 juin - 5 septembre),"45.520578372, 4.88135156154",45.520578372,4.88135156154,,,,,,,,,,,,,,,,
4474,Vous Êtes Ici – Un Festival À Villereal,,47324,,,http://unfestivalavillereal.org/,unfestivalavillereal@gmail.com,De 2000 à 2009,2009,Spectacle vivant,Théâtre,,,,,Saison (21 juin - 5 septembre),"44.6330682255, 0.760362133124",44.6330682255,0.760362133124,,,,,,,,,,,,,,,,
4475,Salon du livre d'Histoire de Verdun,,57751,,,,e.wolf@mairie-woippy.fr,De 2000 à 2009,2003,"Cinéma, audiovisuel",,,Fiction long métrage,,,Après-saison (6 septembre - 31 décembre),"49.1638098271, 6.15770213219",49.1638098271,6.15770213219,,,,,,,,,,,,,,,,
4476,Salon international Peinture et Sculpture,,68384,,,,slichtenauer@icloud.com,De 1990 à 1999,,"Arts visuels, arts numériques",,,,,,Après-saison (6 septembre - 31 décembre),"47.6858083083, 7.30319308149",47.6858083083,7.30319308149,,,,,,,,,,,,,,,,
4477,Bonheur musical au château de lourmarin,,13055,24 Avenue Laurent Vibert,Château de Lourmarin,https://www.bonheurmusical.com,csauer@cegetel.net,De 1990 à 1999,1996,Musique,Musique classique,,,,,Avant-saison (1er janvier - 20 juin),"43.296346, 5.369889",43.296346,5.369889,,,,,,,,,,,,,,,,
4478,Les journées du livre,,13001,9 Avenue Henri pontier,Atelier de la langue française,https://www.atelier-languefrancaise.fr,contact@atelier-languefrancaise.fr,2010 et après,2019,"Livre, littérature",,,,,,Après-saison (6 septembre - 31 décembre),"43.5360708378, 5.39857444582",43.5360708378,5.39857444582,,,,,,,,,,,,,,,,
4479,World festival Ambert,,63003,,Plan d'eau,https://festival-ambert.fr/,contact@festival-ambert.fr,De 1980 à 1989,1989,Musique,,"Chanson ou variété française, Musiques du monde, Musiques traditionnelles, Pop, rock",,,,Saison (21 juin - 5 septembre),"45.5557839461, 3.75625356567",45.5557839461,3.75625356567,,,,,,,,,,,,,,,,
4480,MO'FO,,93070,,,,,De 2000 à 2009,01/01/2005 00:00,Musique,,Musiques actuelles,,,,Avant-saison (1er janvier - 20 juin),"48.909806575, 2.33257042205",48.909806575,2.33257042205,,,,,,,,,,,,,,,,
4481,Levitation,,49007,56 Boulevard Doyenné,Le Chabada,https://levitation-france.com/,fjonquet@lechabada.com,2010 et après,2013,Musique,,"Pop, rock",,,,Après-saison (6 septembre - 31 décembre),"47.476837416, -0.556125995444",47.476837416,-0.556125995444,,,,,,,,,,,,,,,,
4482,Bruits Blancs,,94003,,,,,De 2000 à 2009,2009,Musique,,,,,,Après-saison (6 septembre - 31 décembre),"48.8058803597, 2.33351024984",48.8058803597,2.33351024984,,,,,,,,,,,,,,,,
4483,Lez'arts de la rue,,32013,Avenue Des Pyrenees,,https://www.lezartsdelarue.fr,accueil.jeunes@grand-auch.fr,De 2000 à 2009,2003,"Arts visuels, arts numériques",,,,,,Saison (21 juin - 5 septembre),"43.6534300414, 0.575190250459",43.6534300414,0.575190250459,,,,,,,,,,,,,,,,
4484,Reflets et rythmes,,81021,3 Rue Jacques Maast,Autour du château de La Falgalarié,https://www.ville-aussillon.fr/reflets-et-rythmes,,De 1990 à 1999,,Spectacle vivant,,,,,,Avant-saison (1er janvier - 20 juin),"43.4946823944, 2.35580492552",43.4946823944,2.35580492552,,,,,,,,,,,,,,,,
4485,Fgreen est,,84007,15 Place Des études,,https://www.facebook.com/greenfestival84,teddy@inoove.fr,2010 et après,2014,Musique,,"Musiques électroniques, techno",,,,Saison (21 juin - 5 septembre),"43.9352448339, 4.84071572505",43.9352448339,4.84071572505,,,,,,,,,,,,,,,,
4486,L'autre festival,,84007,2 rue Ferruce,Association Avignon Destination Culture 2 rue Ferruce,,contact@lautre-festival.fr,2010 et après,2019,"Livre, littérature",,,,,,Avant-saison (1er janvier - 20 juin),"43.9352448339, 4.84071572505",43.9352448339,4.84071572505,,,,,,,,,,,,,,,,
4487,Les fous rires d'avignon,,84007,,,https://www.leparisavignon.com,contact@leparisavignon.com,2010 et après,2011,Spectacle vivant,Théâtre - humour,,,,,Avant-saison (1er janvier - 20 juin),"43.9352448339, 4.84071572505",43.9352448339,4.84071572505,,,,,,,,,,,,,,,,
4488,Les murs,,84007,,,https://www.avignonleoff.com,contact@festivaloffavignon.com,Avant 1980,1966,Spectacle vivant,,,,,,Saison (21 juin - 5 septembre),"43.9352448339, 4.84071572505",43.9352448339,4.84071572505,,,,,,,,,,,,,,,,
4489,Les Fuges (ex Eurythmies),,10033,,,,dirmpt.barsuraube@gmail.com,De 2000 à 2009,,Musique,,,,,,Saison (21 juin - 5 septembre),"48.2339751025, 4.71595700167",48.2339751025,4.71595700167,,,,,,,,,,,,,,,,
4490,Festival de La Morue,,33039,,,,contact@mairie-begles.fr,De 1990 à 1999,1996,Spectacle vivant,Spectacle vivant pluridisciplinaire,,,,,Avant-saison (1er janvier - 20 juin),"44.8016009051, -0.547755768448",44.8016009051,-0.547755768448,,,,,,,,,,,,,,,,
4491,Cours en Betton - Festival du film de l'Ouest,,35024,,,,contact@courtsenbetton.com,De 2000 à 2009,2009,"Cinéma, audiovisuel",,,"Fiction long métrage, Court métrage, Documentaire, Film d'animation, Clip, Films d'ateliers",,,Avant-saison (1er janvier - 20 juin),"48.1812360423, -1.64589552684",48.1812360423,-1.64589552684,,,,,,,,,,,,,,,,
4492,Danse le Millet,,29008,,,,studiodumillet@gmail.com,2010 et après,,Musique,,,,,,Saison (21 juin - 5 septembre),"48.0717542642, -4.50670939299",48.0717542642,-4.50670939299,,,,,,,,,,,,,,,,
4493,Les Tréteaux de Pontus,,71037,1 Rue du château,Château Pontus de Tyard,,lacompagniedubonheurvert@yahoo.fr,2010 et après,2016,Spectacle vivant,,,,,,Avant-saison (1er janvier - 20 juin),"46.6633352989, 4.6213986546",46.6633352989,4.6213986546,,,,,,,,,,,,,,,,
4494,Festival Art Et Sciences – Facts,,33063,,,,,2010 et après,2013,Pluridisciplinaire,,,,,,Après-saison (6 septembre - 31 décembre),"44.8572445351, -0.57369678116",44.8572445351,-0.57369678116,,,,,,,,,,,,,,,,
4495,Récréations,,18033,32 bis route de La-Chapelle,siège des mille univers,https://mille-univers.net/recreations/,ateliers@mille-univers.net,De 2000 à 2009,2003,"Livre, littérature",,,,,"Littérature générale, Oulipo",Saison (21 juin - 5 septembre),"47.0749572013, 2.40417137557",47.0749572013,2.40417137557,,,,,,,,,,,,,,,,
4496,Festival de contes,,5110,,,https://www.tourisme-lavallouise.com,,2010 et après,,"Livre, littérature",,,,,Fiction,Saison (21 juin - 5 septembre),"44.8144250588, 6.4647473741",44.8144250588,6.4647473741,,,,,,,,,,,,,,,,
4497,Festival de musique d'Erbalunga,,2B043,1 Rue Théâtre de verdure,,https://www.corsicafestivals.com/,,De 1990 à 1999,1990,Musique,,Chanson ou variété française,,,,Saison (21 juin - 5 septembre),"42.7792996993, 9.45029993821",42.7792996993,9.45029993821,,,,,,,,,,,,,,,,
4498,Terre de Danses,,79049,12 Rue rue Jeanne Malson,Parc de la Sainte Famille,,accueil@festival-eclats-de-voix.fr,2010 et après,2010,Spectacle vivant,Danse,,,,,Saison (21 juin - 5 septembre),"46.8545755683, -0.479375922286",46.8545755683,-0.479375922286,,,,,,,,,,,,,,,,
4499,Oups,,29019,"Le Stella, Maison de quartier, le Mac Orlan, le Quartz…","Centres sociaux, Maisons pour tous, les patronages laïques…",http://www.oups-brest.com/,festival.oups@laposte.net,De 2000 à 2009,2005,Musique,,"Musiques du monde, Musiques traditionnelles",,,,Avant-saison (1er janvier - 20 juin),"48.4004997828, -4.5027907853",48.4004997828,-4.5027907853,,,,,,,,,,,,,,,,
4500,Pluie d'Images,,29019,Territoire de Brest Métropole,,https://festivalpluiedimages.com,drivecapab18@gmail.com,De 2000 à 2009,2005,"Arts visuels, arts numériques",,,,Photographie,,Avant-saison (1er janvier - 20 juin),"48.4004997828, -4.5027907853",48.4004997828,-4.5027907853,,,,,,,,,,,,,,,,
4501,Médiévales de brignoles,,83023,,,https://www.brignoles.fr,vtyrban@brignoles.fr,De 1990 à 1999,,Spectacle vivant,Arts de la rue , arts du théâtre , conte , danse , danses de rue , marionnettes-théâtre d'objets-théâtre d'ombres , musique , musique ancienne , musique médiévale , spectacle déambulatoire , théâtre , théâtre de rue,,,,,Saison (21 juin - 5 septembre),"43.3992941902, 6.07740244296",43.3992941902,6.07740244296,,,,,
4502,Danse en Mai,,19031,Place Aristide Briand,,http://www.sn-lempreinte.fr/,contact@sn-lempreinte.fr,2010 et après,2010,Spectacle vivant,Danse,,,,,Avant-saison (1er janvier - 20 juin),"45.1435830664, 1.51936836063",45.1435830664,1.51936836063,,,,,,,,,,,,,,,,
4503,Impressions Multiples,,14118,17 Cours Caffarelli,,https://www.impressions-multiples.org,t.weyd@esam-c2.fr,2010 et après,2011,"Livre, littérature",,,,,"Bande dessinée, comics, manga, Fiction (roman, théâtre, etc.), Non-fiction (documentaire, autobiographie, essai, récit, etc.), Poésie",Après-saison (6 septembre - 31 décembre),"49.1847936737, -0.369801713036",49.1847936737,-0.369801713036,,,,,,,,,,,,,,,,
4504,Juin jardins,,46042,,"Différents lieux :    Jardins privés, jardins publics Le Parc Tassart, le Square Jouvenel, le Square Olivier-de-Magnyet le jard",http://www.cahorsjuinjardins.fr/,,2010 et après,2015,Spectacle vivant,,,,,,Saison (21 juin - 5 septembre),"44.4507370916, 1.44075837848",44.4507370916,1.44075837848,,,,,,,,,,,,,,,,
4505,Rétrospective des festivals de cannes,,6029,210 Avenue Francis Tonner,,,cinecroisette@gmail.com,2010 et après,,"Cinéma, audiovisuel",,,,,,Après-saison (6 septembre - 31 décembre),"43.5526202843, 7.00427592728",43.5526202843,7.00427592728,,,,,,,,,,,,,,,,
4506,Carpentras fait son cinéma,,84031,68 Rue Joseph cugnot,Espace auzon,https://carpentrasfaitsoncinema.com,mavillefaitsoncinema@gmail.com,2010 et après,2019,"Cinéma, audiovisuel",,,Court métrage,,,Après-saison (6 septembre - 31 décembre),"44.0593802565, 5.06134844776",44.0593802565,5.06134844776,,,,,,,,,,,,,,,,
4507,Jazz à Chabeuil,,26064,,Centre culturel de Chabreuil,http://www.festivjazz.fr/,festivjazz.chabeuil@gmail.com,De 2000 à 2009,2006,Musique,,"jazz, blues et musiques improvisées",,,,Avant-saison (1er janvier - 20 juin),"44.9082255842, 5.00743034189",44.9082255842,5.00743034189,,,,,,,,,,,,,,,,
4508,Confluences Musicales,,53062,Rue De La Croix de Pierre,,,confluencesmusicales.asso@gmail.com,2010 et après,2019,Musique,,Musique classique,,,,Saison (21 juin - 5 septembre),"47.8290067122, -0.738721767875",47.8290067122,-0.738721767875,,,,,,,,,,,,,,,,
4509,Les nocturnes litteraires,,84037,3 Rue De la république,Mairie,https://www.chateauneufdupape.org,fetes@mairie.chateauneuf.com,2010 et après,2018,"Livre, littérature",,,,,"Fiction (roman, théâtre, etc.), Non-fiction (documentaire, autobiographie, essai, récit, etc.), Polar",Saison (21 juin - 5 septembre),"44.0595884031, 4.82728435607",44.0595884031,4.82728435607,,,,,,,,,,,,,,,,
4510,L'argent de poche,,36044,,,,,2010 et après,,"Cinéma, audiovisuel",,,,,,Avant-saison (1er janvier - 20 juin),"46.8029617828, 1.69399812001",46.8029617828,1.69399812001,,,,,,,,,,,,,,,,
4511,Partir en Livre,,97605,6 rue Sicotram,,,info@arll-mayotte.yt,2010 et après,2016,"Livre, littérature",,,,,Conte - Littérature jeunesse,Saison (21 juin - 5 septembre),"-12.821522233, 45.1132970298",-12.821522233,45.1132970298,,,,,,,,,,,,,,,,
4512,Créa'Parc festival,,92023,,,,,,,Musique,,Musiques actuelles,,,,Saison (21 juin - 5 septembre),"48.7964306792, 2.25474652922",48.7964306792,2.25474652922,,,,,,,,,,,,,,,,
4513,Hellfest Open Air,,44043,Rue Rue du Champ Louet,,https://www.hellfest.fr,joy@hellfest.fr,De 2000 à 2009,2006,Musique,,"Métal, hard rock",,,,Saison (21 juin - 5 septembre),"47.097896998, -1.27042598067",47.097896998,-1.27042598067,,,,,,,,,,,,,,,,
4514,Festival du film de Colmar,,68066,,,https://festival-film.colmar.fr,festivalfilm@colmar.fr,De 1990 à 1999,1996,"Cinéma, audiovisuel",,,"Fiction long métrage, Court métrage, Documentaire, Film d'animation, Téléfilm",,,Avant-saison (1er janvier - 20 juin),"48.1099405789, 7.38468690323",48.1099405789,7.38468690323,,,,,,,,,,,,,,,,
4515,Festival Découvrir,,19059,1 Place de la Mairie,Le Bourg,http://www.festivaldecouvrir.com/,,De 2000 à 2009,2003,Spectacle vivant,Spectacle vivant pluridisciplinaire,,,,,Saison (21 juin - 5 septembre),"45.3604032352, 1.33771562463",45.3604032352,1.33771562463,,,,,,,,,,,,,,,,
4516,Jours de Danse(s),,58083,6 Rue de l'Abbaye,6 rue de l'Abbaye,https://www.alentours-reveurs.com/la-ruche-en-mouvement/jours-de-danses/,contact@alentours-reveurs.com,2010 et après,2018,Spectacle vivant,,,,,,Saison (21 juin - 5 septembre),"47.2565578889, 3.68948978336",47.2565578889,3.68948978336,,,,,,,,,,,,,,,,
4517,La Fête des Images,,88160,,,,culture@epinal.fr,2010 et après,2015,"Arts visuels, arts numériques",,,,"Arts numériques, Photographie, Street art, Peinture",,Saison (21 juin - 5 septembre),"48.1631202656, 6.47989286928",48.1631202656,6.47989286928,,,,,,,,,,,,,,,,
4518,Les P'tits Anier,,55185,,,http://anesartgonne.free.fr/crbst_12.html,anesartgonne@free.fr,2010 et après,2011,Musique,,,,,,Avant-saison (1er janvier - 20 juin),"48.9823527638, 5.1255521249",48.9823527638,5.1255521249,,,,,,,,,,,,,,,,
4519,Polar entre deux Mers,,33165,,,https://www.facebook.com/Les-Psychopathes-du-Polar-1708755929399291/,les.psychopathes.du.polar@gmail.com,2010 et après,2017,"Livre, littérature",,,,,,Avant-saison (1er janvier - 20 juin),"44.819815277, -0.439992385579",44.819815277,-0.439992385579,,,,,,,,,,,,,,,,
4520,Jours de bulles,,34097,10 Rue de l'occitanie,,https://www.unidivers.fr/event/festival-jours-de-bulles-felines-minervois-herault-2021-07-18/,,2010 et après,2015,Spectacle vivant,,,,,,Saison (21 juin - 5 septembre),"43.354036783, 2.58187245659",43.354036783,2.58187245659,,,,,,,,,,,,,,,,
4521,Laissez-passer - festival du cinéma israëlien,,84046,,,https://festival-laissez-passer.com,festival.laissez.passer@gmail.com,2010 et après,2010,"Cinéma, audiovisuel",,,,,,Après-saison (6 septembre - 31 décembre),"44.0985422058, 5.26372029474",44.0985422058,5.26372029474,,,,,,,,,,,,,,,,
4522,Festival de l'histoire de l'art,,77186,,,http://festivaldelhistoiredelart.com/,festivaldelhistoiredelart@inha.fr,2010 et après,2011,"Arts visuels, arts numériques",,,,"Arts numériques, Photographie, Street art, Peinture, Sculpture, Installation, Performance",,Saison (21 juin - 5 septembre),"48.4066856508, 2.68031396389",48.4066856508,2.68031396389,,,,,,,,,,,,,,,,
4523,Les Zygophonies,,41059,2 rue de l'Eglise,Fougères sur Bièvre,,leszygophonies@gmail.com,2010 et après,2016,Musique,,"Chanson ou variété française, Musique classique, Musique contemporaine, Pop, rock, Humour et musique",,,,Saison (21 juin - 5 septembre),"47.4210455026, 1.43621364655",47.4210455026,1.43621364655,,,,,,,,,,,,,,,,
4524,In Voce Veritas,,69089,,,https://invoceveritas.fr/le-festival,,2010 et après,2017,Musique,,Jazz,,,,Avant-saison (1er janvier - 20 juin),"45.7378794318, 4.75508314041",45.7378794318,4.75508314041,,,,,,,,,,,,,,,,
4525,Estivales de l'orgue,,83061,,,https://www.amis-cathedrale-frejus.fr,orguedefrejus@gmail.com,2010 et après,,Musique,,Musique savante,,,,Saison (21 juin - 5 septembre),"43.4719558114, 6.76361597424",43.4719558114,6.76361597424,,,,,,,,,,,,,,,,
4526,Festival de Gavarnie,,65192,1 Place de l'Eglise,Mairie De Gèdre,http://www.festival-gavarnie.com,gavarniefestival@gmail.com,De 1980 à 1989,1985,Pluridisciplinaire,,,,,,Saison (21 juin - 5 septembre),"42.766573981, 0.041488959159",42.766573981,0.041488959159,,,,,,,,,,,,,,,,
4527,Festival Jeune et Très Jeune Public,,92036,,,https://festival.enfancemusique.asso.fr,jeune-public@ville-gennevilliers.fr,2010 et après,2013,Pluridisciplinaire,,,,,,Avant-saison (1er janvier - 20 juin),"48.9345190548, 2.29384987973",48.9345190548,2.29384987973,,,,,,,,,,,,,,,,
4528,Le brame du cerf,,51266,,,,aguzzanna@gmail.com,De 2000 à 2009,2009,Spectacle vivant,Théâtre,,,,,Après-saison (6 septembre - 31 décembre),"49.1188404223, 4.03185929464",49.1188404223,4.03185929464,,,,,,,,,,,,,,,,
4529,Or notes festival,,34114,,gymnase le Riveral à Gignac,https://www.ornotesfestival.fr/,,2010 et après,,Musique,,,,,,Avant-saison (1er janvier - 20 juin),"43.6393937216, 3.57384628868",43.6393937216,3.57384628868,,,,,,,,,,,,,,,,
4530,Festival International du Film Insulaire de l'île de Groix,,56069,Port-Lay,,http://www.filminsulaire.com/,festival@filminsulaire.com,De 2000 à 2009,2001,"Cinéma, audiovisuel",,,"Court métrage, Documentaire",,,Saison (21 juin - 5 septembre),"47.6372394221, -3.4644268016",47.6372394221,-3.4644268016,,,,,,,,,,,,,,,,
4531,Festival du Houblon,,67180,,,https://www.festivalduhoublon.eu/,osl@agglo-haguenau.fr,Avant 1980,1960,Spectacle vivant,Danse,,,,,Avant-saison (1er janvier - 20 juin),"48.8417047695, 7.83010404968",48.8417047695,7.83010404968,,,,,,,,,,,,,,,,
